name	score
peak_00812	0.0
peak_01781	0.0
peak_01797	0.0
peak_01512	0.0
peak_01229	0.0
peak_02788	0.0
peak_01703	0.0
peak_01857	0.0
peak_02379	0.0
peak_01819	0.0
peak_02515	0.0
peak_00913	1.0
peak_01252	1.0
peak_01310	1.0
peak_01862	0.0
peak_01213	0.0
peak_00910	0.0
peak_01152	0.0
peak_01074	0.0
peak_02081	0.0
peak_01440	0.0
peak_02190	0.0
peak_01831	0.0
peak_02450	1.0
peak_02908	1.0
peak_01232	0.0
peak_02403	0.0
peak_02483	0.0
peak_01436	0.0
peak_02839	0.0
peak_01581	0.0
peak_02980	0.0
peak_01273	0.0
peak_02313	0.0
peak_00702	0.0
peak_01355	0.0
peak_02133	0.0
peak_00604	0.0
peak_00943	0.0
peak_01139	0.0
peak_00890	0.0
peak_02136	0.0
peak_00958	0.0
peak_01562	0.0
peak_01751	0.0
peak_02376	0.0
peak_01190	0.0
peak_01085	0.0
peak_01779	0.0
peak_02469	0.0
peak_02055	0.0
peak_02421	0.0
peak_01479	0.0
peak_01014	1.0
peak_02883	0.0
peak_02733	0.0
peak_02233	0.0
peak_02052	1.0
peak_01357	0.0
peak_02385	0.0
peak_01633	0.0
peak_01211	0.0
peak_02366	0.0
peak_02706	0.0
peak_02595	0.0
peak_01062	0.0
peak_01718	0.0
peak_02540	0.0
peak_02495	0.0
peak_01574	0.0
peak_01900	0.0
peak_02899	0.0
peak_01164	0.0
peak_02727	0.0
peak_01749	0.0
peak_01941	0.0
peak_02187	1.0
peak_02300	0.0
peak_01686	0.0
peak_00972	0.0
peak_02546	0.0
peak_02315	0.0
peak_01019	0.0
peak_02896	0.0
peak_02103	0.0
peak_02645	0.0
peak_00667	0.0
peak_02661	0.0
peak_02588	0.0
peak_02305	0.0
peak_00857	0.0
peak_01260	0.0
peak_02308	0.0
peak_02354	0.0
peak_01586	0.0
peak_01996	0.0
peak_01451	0.0
peak_00813	0.0
peak_00717	0.0
peak_01471	0.0
peak_01667	0.0
peak_02196	1.0
peak_02010	0.0
peak_02701	0.0
peak_01475	0.0
peak_00770	0.0
peak_01376	0.0
peak_02329	0.0
peak_02096	1.0
peak_02609	0.0
peak_01514	0.0
peak_01631	0.0
peak_01044	0.0
peak_02704	0.0
peak_00617	1.0
peak_01076	0.0
peak_02467	0.0
peak_02049	0.0
peak_01657	0.0
peak_01371	0.0
peak_01281	0.0
peak_02200	0.0
peak_01674	0.0
peak_01439	0.0
peak_02628	0.0
peak_01785	0.0
peak_01613	0.0
peak_01493	0.0
peak_01885	0.0
peak_01995	0.0
peak_01587	0.0
peak_01039	0.0
peak_01020	0.0
peak_01269	0.0
peak_01771	0.0
peak_01879	1.0
peak_00710	1.0
peak_00626	0.0
peak_01411	0.0
peak_00831	0.0
peak_01852	0.0
peak_00678	0.0
peak_01805	0.0
peak_02990	0.0
peak_02591	0.0
peak_02637	0.0
peak_01947	0.0
peak_01404	0.0
peak_01621	0.0
peak_02090	1.0
peak_02195	0.0
peak_02519	0.0
peak_02021	0.0
peak_01795	0.0
peak_01740	0.0
peak_02874	0.0
peak_02184	0.0
peak_01496	0.0
peak_01843	1.0
peak_02981	0.0
peak_00687	0.0
peak_01300	0.0
peak_02695	0.0
peak_02326	0.0
peak_01994	0.0
peak_02922	0.0
peak_02775	0.0
peak_01480	0.0
peak_02188	0.0
peak_02444	0.0
peak_02985	0.0
peak_01214	0.0
peak_01622	0.0
peak_00607	0.0
peak_02076	0.0
peak_02634	0.0
peak_02784	0.0
peak_02227	1.0
peak_02702	0.0
peak_00614	0.0
peak_01841	0.0
peak_01979	0.0
peak_01745	0.0
peak_02870	0.0
peak_02898	1.0
peak_02294	0.0
peak_02610	0.0
peak_02458	0.0
peak_01046	0.0
peak_01403	0.0
peak_01413	0.0
peak_00677	0.0
peak_00763	0.0
peak_01365	0.0
peak_00931	0.0
peak_01884	1.0
peak_02923	0.0
peak_01302	1.0
peak_02508	0.0
peak_01204	0.0
peak_01961	0.0
peak_01839	0.0
peak_02994	0.0
peak_01530	0.0
peak_02644	0.0
peak_02446	0.0
peak_00875	0.0
peak_01351	0.0
peak_00989	0.0
peak_02082	0.0
peak_01525	0.0
peak_01551	0.0
peak_02836	0.0
peak_02761	0.0
peak_01187	0.0
peak_01920	0.0
peak_01934	0.0
peak_02257	0.0
peak_01531	0.0
peak_02769	0.0
peak_02077	0.0
peak_01254	0.0
peak_00976	0.0
peak_02576	0.0
peak_02319	0.0
peak_02627	0.0
peak_01137	0.0
peak_01311	0.0
peak_02790	0.0
peak_01874	0.0
peak_01858	0.0
peak_01128	0.0
peak_00869	0.0
peak_02468	0.0
peak_02760	0.0
peak_01511	1.0
peak_02503	0.0
peak_01400	0.0
peak_01956	0.0
peak_02626	0.0
peak_01158	0.0
peak_02934	0.0
peak_01685	0.0
peak_00660	0.0
peak_00707	1.0
peak_01219	0.0
peak_01698	0.0
peak_00840	0.0
peak_02729	0.0
peak_00769	0.0
peak_01387	0.0
peak_01354	0.0
peak_01606	0.0
peak_02853	0.0
peak_01233	0.0
peak_01636	0.0
peak_00844	0.0
peak_00901	1.0
peak_00987	1.0
peak_02019	0.0
peak_02431	0.0
peak_01263	0.0
peak_01015	0.0
peak_01482	0.0
peak_00993	0.0
peak_01505	0.0
peak_00695	0.0
peak_00712	0.0
peak_01068	0.0
peak_02504	0.0
peak_00759	0.0
peak_02841	0.0
peak_01193	0.0
peak_01820	0.0
peak_00945	0.0
peak_02851	0.0
peak_01292	0.0
peak_02814	0.0
peak_02332	0.0
peak_01099	0.0
peak_02820	0.0
peak_02193	1.0
peak_00849	0.0
peak_01656	0.0
peak_02201	0.0
peak_01666	0.0
peak_00872	0.0
peak_01034	0.0
peak_01969	0.0
peak_01489	0.0
peak_02758	0.0
