name	score
peak_00601	2
peak_00602	3
peak_00603	0
peak_00604	4
peak_00605	0
peak_00606	2
peak_00607	4
peak_00608	1
peak_00609	2
peak_00610	3
peak_00611	2
peak_00612	0
peak_00613	3
peak_00614	3
peak_00615	2
peak_00616	1
peak_00617	4
peak_00618	4
peak_00619	0
peak_00620	0
peak_00621	2
peak_00622	3
peak_00623	3
peak_00624	3
peak_00625	1
peak_00626	0
peak_00627	0
peak_00628	1
peak_00629	4
peak_00630	3
peak_00631	4
peak_00632	2
peak_00633	4
peak_00634	4
peak_00635	2
peak_00636	0
peak_00637	2
peak_00638	0
peak_00639	1
peak_00640	0
peak_00641	2
peak_00642	2
peak_00643	1
peak_00644	2
peak_00645	2
peak_00646	3
peak_00647	2
peak_00648	0
peak_00649	2
peak_00650	0
peak_00651	1
peak_00652	3
peak_00653	0
peak_00654	0
peak_00655	4
peak_00656	1
peak_00657	4
peak_00658	1
peak_00659	2
peak_00660	3
peak_00661	1
peak_00662	3
peak_00663	0
peak_00664	1
peak_00665	3
peak_00666	0
peak_00667	3
peak_00668	0
peak_00669	2
peak_00670	2
peak_00671	1
peak_00672	1
peak_00673	4
peak_00674	4
peak_00675	2
peak_00676	2
peak_00677	0
peak_00678	4
peak_00679	3
peak_00680	4
peak_00681	4
peak_00682	1
peak_00683	4
peak_00684	3
peak_00685	0
peak_00686	1
peak_00687	1
peak_00688	1
peak_00689	3
peak_00690	0
peak_00691	2
peak_00692	3
peak_00693	1
peak_00694	2
peak_00695	0
peak_00696	1
peak_00697	3
peak_00698	2
peak_00699	2
peak_00700	3
peak_00701	0
peak_00702	3
peak_00703	4
peak_00704	4
peak_00705	1
peak_00706	0
peak_00707	1
peak_00708	3
peak_00709	2
peak_00710	3
peak_00711	0
peak_00712	3
peak_00713	3
peak_00714	4
peak_00715	0
peak_00716	4
peak_00717	3
peak_00718	4
peak_00719	2
peak_00720	1
peak_00721	4
peak_00722	4
peak_00723	4
peak_00724	1
peak_00725	0
peak_00726	1
peak_00727	1
peak_00728	3
peak_00729	0
peak_00730	4
peak_00731	3
peak_00732	1
peak_00733	0
peak_00734	3
peak_00735	2
peak_00736	1
peak_00737	2
peak_00738	0
peak_00739	3
peak_00740	3
peak_00741	4
peak_00742	3
peak_00743	2
peak_00744	2
peak_00745	1
peak_00746	2
peak_00747	1
peak_00748	2
peak_00749	1
peak_00750	4
peak_00751	0
peak_00752	3
peak_00753	0
peak_00754	0
peak_00755	0
peak_00756	1
peak_00757	4
peak_00758	0
peak_00759	4
peak_00760	2
peak_00761	1
peak_00762	2
peak_00763	4
peak_00764	4
peak_00765	0
peak_00766	4
peak_00767	0
peak_00768	0
peak_00769	4
peak_00770	2
peak_00771	1
peak_00772	0
peak_00773	1
peak_00774	0
peak_00775	3
peak_00776	2
peak_00777	1
peak_00778	3
peak_00779	3
peak_00780	1
peak_00781	1
peak_00782	4
peak_00783	3
peak_00784	2
peak_00785	0
peak_00786	3
peak_00787	3
peak_00788	0
peak_00789	2
peak_00790	0
peak_00791	1
peak_00792	1
peak_00793	4
peak_00794	3
peak_00795	1
peak_00796	2
peak_00797	4
peak_00798	3
peak_00799	0
peak_00800	4
peak_00801	0
peak_00802	2
peak_00803	3
peak_00804	0
peak_00805	4
peak_00806	4
peak_00807	1
peak_00808	4
peak_00809	4
peak_00810	2
peak_00811	4
peak_00812	0
peak_00813	4
peak_00814	1
peak_00815	2
peak_00816	4
peak_00817	3
peak_00818	1
peak_00819	1
peak_00820	3
peak_00821	2
peak_00822	0
peak_00823	2
peak_00824	0
peak_00825	2
peak_00826	3
peak_00827	1
peak_00828	3
peak_00829	2
peak_00830	0
peak_00831	3
peak_00832	3
peak_00833	2
peak_00834	2
peak_00835	3
peak_00836	1
peak_00837	4
peak_00838	1
peak_00839	1
peak_00840	3
peak_00841	3
peak_00842	0
peak_00843	1
peak_00844	1
peak_00845	3
peak_00846	3
peak_00847	2
peak_00848	4
peak_00849	4
peak_00850	1
peak_00851	2
peak_00852	0
peak_00853	2
peak_00854	1
peak_00855	2
peak_00856	2
peak_00857	4
peak_00858	2
peak_00859	1
peak_00860	2
peak_00861	4
peak_00862	2
peak_00863	0
peak_00864	4
peak_00865	1
peak_00866	2
peak_00867	4
peak_00868	0
peak_00869	2
peak_00870	0
peak_00871	4
peak_00872	1
peak_00873	3
peak_00874	3
peak_00875	1
peak_00876	4
peak_00877	0
peak_00878	0
peak_00879	4
peak_00880	3
peak_00881	3
peak_00882	0
peak_00883	0
